"WHATSNEW_L1","DriveIt has been updated successfully!",""
"WHATSNEW_L2","For a detailed list of changes, please visit the Steam Workshop or GitHub.",""
"MOD_DESCRIPTION","Drive vehicles around your very own city!",""
"SETTINGS_TAB_SETTINGS","General",""
"SETTINGS_TAB_BIKE","Bikes",""
"SETTINGS_TAB_BOAT","Boats",""
"SETTINGS_TAB_CAR","Cars",""
"SETTINGS_TAB_HELI","Helos",""
"SETTINGS_TAB_PLANE","Planes",""
"SETTINGS_TAB_TRAILER","Trailers",""
"SETTINGS_TAB_TRAIN","Trains",""
"SETTINGS_TAB_KEYS","Keys",""
"SETTINGS_GROUP_GENERAL","General Settings",""
"SETTINGS_GROUP_VEHICLE","Generic Handling Settings",""
"SETTINGS_GROUP_BIKE","Bike Handling Settings",""
"SETTINGS_GROUP_BOAT","Boat Handling Settings",""
"SETTINGS_GROUP_CAR","Car Handling Settings",""
"SETTINGS_GROUP_HELI","Helo Handling Settings",""
"SETTINGS_GROUP_PLANE","Plane Handling Settings",""
"SETTINGS_GROUP_TRAILER","Trailer Handling Settings",""
"SETTINGS_GROUP_TRAIN","Train Handling Settings",""
"SETTINGS_GROUP_CAMERA","Camera Settings",""
"SETTINGS_GROUP_GAME","Gameplay Settings",""
"SETTINGS_GROUP_KEYS","Keybinds",""
"SETTINGS_RESTOREDEFAULT","Restore Defaults",""
"SETTINGS_MAXVELOCITY","Maximum velocity",""
"SETTINGS_ENGINEPOWER","Engine Power",""
"SETTINGS_BRAKINGFORCE","Braking Force",""
"SETTINGS_AUTOMATICTRANS","Automatic Transmission",""
"SETTINGS_BRAKINGABS","ABS Braking",""
"SETTINGS_TRACTIONCTL","Traction Control",""
"SETTINGS_TRACTIONCTL_FULL","Full",""
"SETTINGS_TRACTIONCTL_SPORT","Sport",""
"SETTINGS_TRACTIONCTL_TRACK","Track",""
"SETTINGS_TRACTIONCTL_OFF","Off",""
"SETTINGS_BUILDINGCOLLISION","Building collision",""
"SETTINGS_VEHICLECOLLISION","Vehicle collision",""
"SETTINGS_OFFSET_X","Camera Offset X",""
"SETTINGS_OFFSET_Y","Camera Offset Y",""
"SETTINGS_OFFSET_Z","Camera Offset Z",""
"SETTINGS_DOWNFORCE","Downforce",""
"SETTINGS_DRIVEBIAS","Drive Bias",""
"SETTINGS_BRAKEBIAS","Brake Bias",""
"SETTINGS_GRIPCOEFFS","Static Friction Coefficient",""
"SETTINGS_GRIPCOEFFK","Kinetic Friction Coefficient",""
"SETTINGS_SPRINGDAMP","Suspension Stiffness (Normalized)",""
"SETTINGS_SPRINGOFFSET","Suspension Height",""
"SETTINGS_SPRINGSWAYBAR","Sway Bar Stiffness",""
"SETTINGS_MASSCENTERHEIGHT","Center of Mass Height",""
"SETTINGS_MASSCENTERBIAS","Center of Mass Bias",""
"SETTINGS_CAM_MOUSE_SENSE","Camera Mouse Rotation Sensitivity",""
"SETTINGS_CAM_KEY_SENSE","Camera Key Rotation Sensitivity",""
"SETTINGS_CAM_FIELD_OF_VIEW","Camera Field of View",""
"SETTINGS_CAM_MAX_PITCH_DEG","Camera Maximum Pitch",""
"SETTINGS_CAM_SMOOTHING","Camera Smoothing",""
"SETTINGS_KEYUUITOGGLE","Toggle Main Panel (Requires UUI)",""
"SETTINGS_KEYLIGHTTOGGLE","Toggle Headlights",""
"SETTINGS_KEYSIRENTOGGLE","Toggle Siren for Special Vehicles",""
"SETTINGS_KEYMOVEFORWARD","Forward/Throttle",""
"SETTINGS_KEYMOVEBACKWARD","Reverse/Brake",""
"SETTINGS_KEYMOVELEFT","Steer Left",""
"SETTINGS_KEYMOVERIGHT","Steer Right",""
"SETTINGS_KEYRESETVEHICLE","Reset Vehicle Rotation",""
"SETTINGS_KEYGEARUP","Upshift",""
"SETTINGS_KEYGEARDOWN","Downshift",""
"SETTINGS_KEYCAMCURSORTOGGLE","Hide/Show UI",""
"SETTINGS_KEYCAMZOOMIN","Camera Zoom In",""
"SETTINGS_KEYCAMZOOMOUT","Camera Zoom Out",""
"SETTINGS_KEYCAMRESET","Reset Camera Orientation",""
"SETTINGS_KEYROTATECAMUP","Camera Rotate Up",""
"SETTINGS_KEYROTATECAMDOWN","Camera Rotate Down",""
"SETTINGS_KEYROTATECAMLEFT","Camera Rotate Left",""
"SETTINGS_KEYROTATECAMRIGHT","Camera Rotate Right",""
"MAINPANELBTN_TOOLTIP","DriveIt",""
"DRIVEBTN_TOOLTIP","Start driving",""
"SPAWNBTN_TEXT","Spawn vehicle",""
"ROAD_SELECT","Spawn Vehicle on This Road Segment",""
"TERRAIN_SELECT","Spawn Vehicle at this Position",""
"SETTINGS_SPRINGOFFSET_BOAT","Ride Height",""
